department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
SET,910283.0,SESE10159,,"Experiments of Electrical Engineering(2)
",電子實驗(2),Unlimited,0.0,T678-,1.0,3.0,謝育立,Required
SET,910284.0,SESE10159,,"Experiments of Electrical Engineering(2)
",電子實驗(2),Unlimited,25.0,R234-,1.0,3.0,謝育立,Required
SET,910285.0,SESE20182,,"Semiconductor Device Phyiscs
",半導體元件物理,Unlimited,0.0,M34W6-,3.0,3.0,謝育立,Elective
SET,910286.0,SESE10165,,"Fundamental of Electric Circuits (1)
",電路學(1),Unlimited,0.0,W9R12-,3.0,3.0,葉宗翰,Required
SET,910287.0,SESE20026,,"Microelectronic Technology
",微電子技術,Unlimited,0.0,W678-,3.0,3.0,葉宗翰,Elective
SET,910288.0,SESE20183,,"Optoelectronics
",光電子學,Unlimited,0.0,M349-,3.0,3.0,葉宗翰,Elective
SET,910289.0,SESE20184,,"Optical Communications
",光電通訊,Unlimited,0.0,Wabc-,3.0,3.0,系統工程,Elective
SET,910290.0,SESE20185,,"The Experimental of Automatic Control
",自動控制實驗,Unlimited,24.0,W234-,1.0,3.0,藍建武,Required
SET,910291.0,SESE10230,,"Electronics Circuits (2)
",電子學(2),Unlimited,0.0,W678-,3.0,3.0,談光雄,Required
SET,910292.0,SESE20186,,"Power Electronics
",電力電子學,Unlimited,0.0,T234-,3.0,3.0,談光雄,Elective
SET,910293.0,SESE20187,,"Automatic Control Systems(2)
",自動控制系統(2),Unlimited,24.0,T126-,3.0,3.0,楊家宏,Required
SET,910294.0,SESE20188,,"Industrial electronics
",工業電子,Unlimited,0.0,Wabc-,3.0,3.0,劉貞灝,Elective
SET,910295.0,SESE10049,,"Digital logic design
",數位邏輯設計,Unlimited,0.0,F234-,3.0,3.0,林振輝,Required
SET,910296.0,SESE10039,,"Micro Process Theory and Experiment
",微算機原理與實驗,Unlimited,0.0,Wabc-,3.0,3.0,林振輝,Elective
SET,910297.0,SESE20064,,"Computer Aided Logic Circuit Design
",電腦輔助邏輯電路設計,Unlimited,0.0,W678-,3.0,3.0,張德仁,Elective
SET,910298.0,SESE20189,,"Operating System
",作業系統,Unlimited,0.0,Wabc-,3.0,3.0,張德仁,Elective
SET,910299.0,SESE10130,,"Introduction to Information Security
",資訊安全,Unlimited,0.0,W789-,3.0,3.0,張克勤,Elective
SET,910300.0,SESE10239,,"Data Structure
",資料結構,Unlimited,0.0,M34W6-,3.0,3.0,張克勤,Elective
SET,910301.0,SESE10055,,"General Physics(2)
",普通物理(2),Unlimited,0.0,R34F1-,3.0,3.0,鄭紹宏,Required
SET,910302.0,SESE20084,,"Regulation and Contract Management for Construction
",工程法規及採購,Unlimited,22.0,M34R1-,3.0,3.0,張文南,Required
SET,910303.0,SESE20190,,"Electrics for Civil Constructions
",設施水電工程及實習,Unlimited,25.0,T67W67-,3.0,4.0,趙振宇,Required
SET,910304.0,SESE20088,,"Introduction of Fortification Engineering
",軍事防護工程,Unlimited,22.0,W34-,2.0,2.0,蔡營寬,Required
SET,910305.0,SESE20191,,"Reinforced Concrete
",鋼筋混凝土,Unlimited,25.0,R234-,3.0,3.0,張文南,Required
SET,910306.0,SESE20192,,"Application of Computer in Engineering and Practice
",計算機在工程之應用及實習,Unlimited,0.0,F12-,2.0,2.0,張文南,Elective
SET,910307.0,SESE20089,,"Climatology
",氣候學,Unlimited,10.0,M34W3-,3.0,3.0,系統工程,Required
SET,910308.0,SESE20193,,"Numerical Weather Prediction and Practice
",數值天氣預報及實習,Unlimited,3.0,T34R1-,3.0,3.0,林永慶,Required
SET,910309.0,SESE10240,,"Tropical Meteorology
",熱帶氣象學,Unlimited,0.0,W678-,3.0,3.0,系統工程,Elective
SET,910310.0,SESE20093,,"Radar Meteorology
",雷達氣象學,Unlimited,0.0,W678-,3.0,3.0,蔡世樵,Elective
SET,910311.0,SESE20194,,"Meso-scale Meteorology
",中尺度氣象學,Unlimited,0.0,W4F12-,3.0,3.0,系統工程,Elective
SET,910312.0,SESE20082,,"Land Law
",土地法,Unlimited,0.0,T123-,3.0,3.0,系統工程,Elective
SET,910313.0,SESE20085,,"Mobile Positioning and Battlefield Management
",行動定位與戰場管理,Unlimited,0.0,T467-,3.0,3.0,系統工程,Elective
SET,910314.0,SESE20195,,"GIS Mapping
",地理資訊製圖,Unlimited,0.0,W678-,3.0,3.0,吳憲珉,Elective
SET,910315.0,SESE20196,,"Architecture Design
",建築設計,Unlimited,0.0,W12-,2.0,2.0,張又升,Elective
SET,910316.0,SESE10076,,"Concepts of Weapon and Fighting Vehicles
",武器及戰鬥載具概論,Unlimited,0.0,Tabc-,3.0,3.0,雷清宇、王翔正,Required
SET,910317.0,SESE10161,,"Computer Aided Mechanical Drawing
",電腦輔助機械製圖,Unlimited,0.0,W678-,1.0,3.0,朱子文,Required
SET,910318.0,SESE10161,,"Computer Aided Mechanical Drawing
",電腦輔助機械製圖,Unlimited,0.0,F234-,1.0,3.0,朱子文,Required
SET,910319.0,SESE10231,,"Engineering Mathematics(2)
",工程數學(2),Unlimited,31.0,M678-,3.0,3.0,陳竺博淵、潘冠呈,Required
SET,910320.0,SESE10235,,"Fluid Mechanics
",流體力學,Unlimited,31.0,M34F1-,3.0,3.0,林俊成,Required
SET,910321.0,SESE10167,,"An Introduction to Circuit and Experiments Analysis
",電路學及實驗,Unlimited,31.0,F234-,3.0,3.0,李永隆,Required
SET,910322.0,SESE10029,,"Engineering Software Practice
",工程軟體實務,Unlimited,0.0,Tabc-,3.0,3.0,徐守仁,Elective
SET,910323.0,SESE10169,,"Advanced Programming Language
",高階程式語言,Unlimited,0.0,Mabc-,3.0,3.0,雷賀君,Elective
SET,910324.0,SESE10241,,"Experiments Design
",實驗設計法,Unlimited,0.0,W678-,3.0,3.0,系統工程,Elective
SET,910325.0,SESE20146,,"Automatic Control
",自動控制,Unlimited,40.0,M34W2-,3.0,3.0,朱子文,Required
SET,910326.0,SESE20197,,"An Introduction to Systems Engineering
",系統工程概論,Unlimited,40.0,W678-,3.0,3.0,鄧世剛,Required
SET,910327.0,SESE20147,,"Advanced Mechanics of Materials
",高等材料力學,Unlimited,0.0,T678-,3.0,3.0,王樂民,Elective
SET,910328.0,SESE20198,,"Combat System Design
",載具戰鬥系統設計,Unlimited,0.0,W234-,3.0,3.0,李永隆,Elective
SET,910329.0,SESE10034,,"Ballistics and Experiments (1)
",彈道學及實驗(1),Unlimited,12.0,R234-,3.0,3.0,系統工程,Required
SET,910330.0,SESE10045,,"Engineering Mechanics - Dynamics
",應用力學-動力學,Unlimited,12.0,T678-,3.0,3.0,陳幼良,Required
SET,910331.0,SESE20199,,"Weapon System Engineering Project(2)
",兵器工程專題實作(2),Unlimited,0.0,M567-,1.0,3.0,李永隆,Required
SET,910332.0,SESE20199,,"Weapon System Engineering Project(2)
",兵器工程專題實作(2),Unlimited,0.0,M567-,1.0,3.0,鄧世剛,Required
SET,910333.0,SESE20200,,"Missile Systems
",飛彈系統,Unlimited,24.0,R234-,3.0,3.0,李永隆,Required
SET,910334.0,SESE10209,,"Ordnance Engineering and Workshop (2)
",兵器工程及實習(2),Unlimited,0.0,T678-,3.0,3.0,孫懷谷,Elective
SET,910335.0,SESE20201,,"Weapon System Engineering Project(4)
",兵器工程專題實作(4),Unlimited,0.0,M567-,1.0,3.0,陳幼良,Required
SET,910336.0,SESE20201,,"Weapon System Engineering Project(4)
",兵器工程專題實作(4),Unlimited,0.0,M567-,1.0,3.0,葉昭南,Required
SET,910337.0,SESE20202,,"Weapons Design Practice
",兵器設計實務,Unlimited,0.0,T234-,3.0,3.0,系統工程,Elective
SET,910338.0,SESE10242,,"Automotive Diagnosis and Service
",車輛檢修實務,Unlimited,13.0,R234-,3.0,3.0,黃寶錩,Required
SET,910339.0,SESE10140,,"Automotive Sensors and Control
",車輛感測元件與控制,Unlimited,0.0,W678-,3.0,3.0,蘭真,Elective
SET,910340.0,SESE10143,,"Vehicle's Triboloical System Design
",車輛磨潤系統設計,Unlimited,0.0,T34R1-,3.0,3.0,黃寶錩,Elective
SET,910341.0,SESE20203,,"Internal Combustion Engine Testing
",內燃機實務,Unlimited,8.0,R234-,1.0,3.0,周志正,Required
SET,910342.0,SESE20204,,"Simple Vehicle Design and Manufacture Project(2)
",車輛設計製造專題實作(2),Unlimited,0.0,M567-,1.0,3.0,宋易哲,Required
SET,910343.0,SESE20205,,"Vehicle Structure Analysis
",車輛結構分析,Unlimited,8.0,W1F12-,3.0,3.0,曾有志,Required
SET,910344.0,SESE20206,,"Electric and Hybrid Vehicles
",電動車及混合動力車,Unlimited,0.0,T34R1-,3.0,3.0,周志正,Elective
SET,910345.0,SESE20207,,"Simple Vehicle Power Engineering Project(4)
",車輛動力工程專題實作(4),Unlimited,0.0,M567-,1.0,3.0,周志正,Required
SET,910346.0,SESE20208,,"Simple Vehicle Control Engineering Project(4)
",車輛控制工程專題實作(4),Unlimited,0.0,M567-,1.0,3.0,許曆山,Required
SET,910347.0,SESE20209,,"Simple Vehicle Design and Manufacture Project(4)
",車輛設計製造專題實作(4),Unlimited,0.0,M567-,1.0,3.0,黃寶錩,Required
SET,910348.0,SESE20210,,"Transportation Engineering
",車輛運輸工程學,Unlimited,0.0,Tabc-,3.0,3.0,侯光煦,Elective
SET,910349.0,SESE10231,,"Engineering Mathematics(2)
",工程數學(2),Unlimited,0.0,Tabc-,3.0,3.0,宋易哲,Required
SET,910350.0,SESE10205,,"Systems Engineering Management
",系統工程管理概論,Unlimited,0.0,T234-,3.0,3.0,鄧世剛,Required
SET,910351.0,SESE10235,,"Fluid Mechanics
",流體力學,Unlimited,0.0,Mabc-,3.0,3.0,系統工程,Required
SET,910352.0,SESE10151,,"Principles of Naval Architecture (1)
",造船原理(1),Unlimited,6.0,R234-,3.0,3.0,潘冠呈,Required
SET,910353.0,SESE20211,,"Special Ship Design Project(2)
",特殊船舶設計專題實作(2),Unlimited,0.0,M567-,1.0,3.0,林俊成,Required
SET,910354.0,SESE20212,,"Marine Engineering (1)
",輪機工程(1),Unlimited,8.0,R234-,3.0,3.0,劉思遠,Required
SET,910355.0,SESE20213,,"Basic Electronics for Marine Engineering
",船用電學,Unlimited,0.0,W1F34-,3.0,3.0,林俊成,Elective
SET,910356.0,SESE20214,,"Special Ship Design Project(4)
",特殊船舶設計專題實作(4),Unlimited,0.0,M567-,1.0,3.0,劉宗龍,Required
SET,910357.0,SESE20215,,"Ship Structural
",船舶結構學,Unlimited,0.0,T234-,3.0,3.0,王樂民,Required
SET,910358.0,SESE20216,,"Marine Engineering (2)
",輪機工程(2),Unlimited,0.0,W234-,3.0,3.0,林俊成,Elective
SET,910359.0,SESE20217,,"Introduction of Welding Technology
",焊接學概論,Unlimited,0.0,W678-,3.0,3.0,王樂民,Elective
SET,910360.0,SESE20225,,"Soil Mechanical Testing
",土壤力學實驗,Unlimited,0.0,W234-,2.0,3.0,系統工程,Elective
SET,910361.0,SESE10065,,"Mechanics of Materials
",材料力學,Unlimited,24.0,W678-,3.0,3.0,蔡營寬,Required
SET,910362.0,SESE10013,,"Soil Mechanical Testing
",土壤力學,Unlimited,24.0,R1F34-,3.0,3.0,系統工程,Required
SET,910363.0,SESE10244,,"Tests of Engineering Materials
",工程材料實驗,Unlimited,0.0,R234-,2.0,3.0,系統工程,Elective
SET,910364.0,SESE10231,,"Engineering Mathematics(2)
",工程數學(2),Unlimited,24.0,T234-,3.0,3.0,石棟鑫、楊順欽,Required
SET,910365.0,SESE10111,,"General Statistics
",統計學,Unlimited,12.0,T67-,2.0,2.0,沈鴻禧,Required
SET,910366.0,SESE00115,,"Thermodynamics
",熱力學,Unlimited,3.0,W678-,3.0,3.0,系統工程,Required
SET,910367.0,SESE10245,,"Electromagnetics
",電磁學,Unlimited,0.0,R234-,3.0,3.0,系統工程,Elective
SET,910368.0,SESE10019,,"Atmospheric Physics
",大氣物理學,Unlimited,3.0,F234-,3.0,3.0,林永慶,Required
SET,910369.0,SESE10081,,"Surveying Program Design
",測量程式設計,Unlimited,9.0,W234-,3.0,3.0,蔡明達,Required
SET,910370.0,SESE10119,,"Photogrammetry Practice
",航空攝影測量學實習,Unlimited,9.0,W678-,1.0,3.0,林玉菁,Required
